,Time Stamp,South Fork Rivanna River,James River,Moormans River,Tye River,Piney River
0,11-Aug-2020 (16:39:16.967557),189.0,2070.0,111.0,42.1,29.9
1,11-Aug-2020 (17:03:08.032124),186.0,1970.0,106.0,42.1,36.6
2,11-Aug-2020 (17:04:19.202778),186.0,1970.0,106.0,42.1,36.6
3,11-Aug-2020 (17:11:23.357164),186.0,1970.0,106.0,42.1,36.6
4,11-Aug-2020 (17:13:04.397822),186.0,1970.0,106.0,42.1,36.6
5,11-Aug-2020 (17:29:23.948184),186.0,1970.0,106.0,42.1,36.6
6,11-Aug-2020 (17:30:25.796320),186.0,1970.0,106.0,42.1,36.6
7,19-Aug-2020 (20:42:47.237781),595.0,3970.0,250.0,72.1,52.6
8,19-Aug-2020 (20:56:05.565419),587.0,3990.0,250.0,70.7,52.6
9,20-Aug-2020 (07:51:48.117873),462.0,3990.0,199.0,61.4,51.1
10,22-Aug-2020 (12:10:37.975743),513.0,2720.0,156.0,76.1,40.3
11,22-Aug-2020 (12:12:05.194577),513.0,2720.0,156.0,76.1,40.3
12,22-Aug-2020 (14:54:09.415501),476.0,2510.0,156.0,73.2,44.2
13,22-Aug-2020 (14:55:32.394697),458.0,2510.0,156.0,73.2,44.2
14,22-Aug-2020 (14:55:37.522334),458.0,2510.0,156.0,73.2,44.2
15,26-Aug-2020 (10:46:38.131453),287.0,2920.0,123.0,70.5,33.2
16,26-Aug-2020 (15:37:59.308354),284.0,2370.0,107.0,79.3,34.3
17,26-Aug-2020 (15:38:36.684713),284.0,2370.0,107.0,79.3,34.3
18,26-Aug-2020 (15:39:16.313054),284.0,2370.0,107.0,79.3,34.3
19,26-Aug-2020 (15:40:06.386840),284.0,2370.0,107.0,79.3,34.3
20,26-Aug-2020 (15:40:38.743210),284.0,2370.0,107.0,79.3,34.3
21,26-Aug-2020 (15:46:32.416435),284.0,2370.0,107.0,79.3,34.3
22,26-Aug-2020 (15:46:56.601114),284,2370,107,79.3,34.3
